Concordance,type,lex_asp_b,lex_asp,lex_asp_2,bound_2,bounding,telicity,temp_bound,verb_lemma,File,period
"5 And I hoope not to be acquainted with any chaunge therof . GAWDY-E2-P1,22.6 Being at the court vppon Sonday last I sawe the making of ij newe Knightes S=r= Henry Graye , and S=r= Horatio Paliveseno . GAWDY-E2-P1,22.7 Her Ma=tie= vppon Monday was wo",NG,activity,activity,accomplishment,bound,unbound,atelic,bound,making,gawdy-e2-p1.txt,EModE
"h R. ELIZ-1570-E2-P2,1.2,263.30 {COM:indorsed_in_Lord_Burghley's_hand} xj. Ap=l=. 1572. The Q. Ma=ty= with hir own hand , for staying of the Execution of the D. N. ELIZ-1570-E2-P2,1.2,263.31 R~ at 2 in the Morning . ELIZ-1570-E2-P2,1.2,263.32 Elizabe",NG,state,state,accomplishment,bound,unbound,atelic,bound,staying,eliz-1570-e2-p2.txt,EModE
"ourable and neutral Dealing with the Duke and others her Highness's Commissioners , in the beginning of the Cause , as in the making of the Oaths to proceed sincerely , &c . During which time , I only entered into general Speech , sticking at our jus",NG,accomplishment,activity,activity,unbound,unbound,telic,unbound,making ,thoward2-e2-p1.txt,EModE
"58 but the Voyage , notwithstanding my Endeavour , had no other Success , but what was fatal to me , the Loss of my Son , and wasting of my whole Estate . RALEIGH-E2-P1,1,227.459 Being about to proceed , he was by the Lord Chief Justice interrupted ,",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,wasting,raleigh-e2-p1.txt,EModE
"ual on the News of our Approach to these great Cities , or Populous Towns , for the Governors or their Deputies to expect the coming of our Agent a Pharsang out of Town , bringing the Men of Note with him to attend us to our Lodgings , and bring us w",NG,achievement,achievement,achievement,bound,bound,telic,neutral,coming ,fryer-e3-p1.txt,EModE
"d thong together . HOXINDEN-1650-E3-P2,174.135 Pray sift out to your utmost abilitie how they of Broome stand affected to the buying of what I have formerly acquainted you with ; HOXINDEN-1650-E3-P2,175.136 I do not value what was my forefathers if i",NG,achievement,achievement,achievement,bound,bound,telic,bound,buying,hoxinden-1650-e3-p2.txt,EModE
"-E2-P1,7.77 So wee may insert these points which you have spoken of ; dividing the whole into several Chapters , for the full distinguishing and plain setting down of every matter . BRINSLEY-E2-P1,8.78 To the end therefore that I may bee the better g",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,distinguishing,brinsley-e2-p1.txt,EModE
" the mysticall government of co~gregations visible to the sonnes of David by the same couenant ; whose sonnes they are in the governing of the flock of Christ , who~soever the holy ghost hath set over the~ to goe before them & to leade them in their ",NG,activity,activity,activity,unbound,unbound,atelic,unbound,governing,hooker-a-e2-p2.txt,EModE
"2-P2,56.C2.799 Fal. How now , mine Host ? SHAKESP-E2-P2,56.C2.800 Host . $Here $'s {TEXT:Here's} a Bohemian-Tartar taries the comming downe of thy fat-woman : SHAKESP-E2-P2,56.C2.801 Let her descend Bully SHAKESP-E2-P2,56.C2.802 let her descend : SHA",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,coming,shakesp-e2-p2.txt,EModE
"ed with the collicke , with the Plurisie , with the Stone , and with the Goute : to stay the Cough , the Fluxe of the Belly , spitting of bloud , and Defluxions of humours , &c . CLOWES-E2-P1,47.281 It is said , it were as good for a Chirurgian that ",NG,activity,activity,activity,unbound,unbound,atelic,neutral,spitting,clowes-e2-p1.txt,EModE
"d close , and indure then dropping to the last drop , though with neuer so much leasure . MARKHAM-E2-P1,2,123.175 Now for the brewing of strong Ale because it is drinke of no such long lasting as {of} Beere is : therefore you shall brew lesse quantit",NG,activity,activity,activity,unbound,unbound,atelic,neutral,brewing,markham-e2-p1.txt,EModE
"ereby they were known and reverenced , every man in his degree , both in the University and withoute , in Court and City ; by wearing of that comely , decent , and wonted apparell ; the due consideration whereof , is referred by her Majesties Proclam",NG,activity,activity,activity,unbound,unbound,atelic,neutral,wearing,wcecil-1580-e2-h.txt,EModE
"n the Sabbath day , AUTHNEW-E2-P2,13,1A.803 and sate downe . AUTHNEW-E2-P2,13,1A.804 15 AUTHNEW-E2-P2,13,1A.805 And after the reading of the Law and the Prophets , the rulers of the synagogue sent vnto them , saying , Ye men and brethren , if ye haue",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,reading,authnew-e2-p2.txt,EModE
" into the leaves , as that the water of the Thames covering the bottom of the Mills at the Bridge foot of London , and by the ebbing and flowing of it , $passing {TEXT:passsing} strongly by them , should have some part of it convey'd to the Cesterns ",NG,activity,activity,activity,unbound,unbound,atelic,unbound,ebbing,hooke-e3-p2.txt,EModE
"firmament are alwayes of like distance , BLUNDEV-E2-P2,159V_misnumbered_as_158V.319 notwithstanding by reason of the manyfold moouing of the firmament , wherein they are placed , they seeme to change their places , and sometimes to bee more towardes ",NG,activity,activity,activity,unbound,unbound,atelic,unbound,moving,blundev-e2-p2.txt,EModE
 thousand six hundred ninety and five shall not happen to bee the Goaler or Keeper of such Goal or Prison att the time of the making such Su~mon that then the said Justice or Justic~ of the Peace before whom the Sheriff Goaler or Keeper of such Priso,NG,accomplishment,activity,activity,unbound,unbound,telic,unbound,making ,stat-1690-e3-h.txt,EModE
"lent brightnesse of the Sunne from whome they borowe their chiefest light . BLUNDEV-E2-P2,159R_misnumbered_as_158R.306 OF THE MOOUING AND SHAPE OF THE STARRES . BLUNDEV-E2-P2,159R_misnumbered_as_158R.308 CAP. 22 . BLUNDEV-E2-P2,159R_misnumbered_as_15",NG,activity,activity,activity,unbound,unbound,atelic,neutral,moving,blundev-e2-p2.txt,EModE
"noe man might preach , but such as should be allowed by authority : HAYWARD-E2-H,5.24 and thes alsoe were charged to forbeare treating of controversyes in Religion not to move dispute touching governement , eyther for altering or reteyning the presen",NG,activity,activity,activity,unbound,unbound,atelic,unbound,treating,hayward-e2-h.txt,EModE
"ongeth all the praise of al the treasures and riches of every Temple which is of God . HOOKER-B-E2-H,43.113 This excludeth al boasting and vaunting of our faith . HOOKER-B-E2-H,43.114 17 HOOKER-B-E2-H,43.115 But this must not make vs carelesse to edi",NG,activity,activity,activity,unbound,unbound,atelic,neutral,boasting,hooker-b-e2-h.txt,EModE
"THOWARD2-E2-P2,111.870 Against this he taketh exception ; THOWARD2-E2-P2,111.871 his only answer is his bare denial , and his defacing of their Credit . THOWARD2-E2-P2,111.872 He saith they are Traitors , and have confessed Treason against themselves",NG,achievement,achievement,achievement,bound,bound,telic,bound,defacing,thoward2-e2-p2.txt,EModE
" a very sharp Razor , so that they appear'd , even in the Glass , to have a pretty smooth surface , but somewhat waved by the sawing to and fro of the Razor , as is visible in the end of the Prismatical body A of the same Figure ; HOOKE-E3-P2,157.29 ",NG,activity,activity,accomplishment,bound,unbound,atelic,bound,sawing,hooke-e3-p2.txt,EModE
" times in the day and in the night , to gargarise or wash their gums and mouthes with my lotion published in my booke for the curing of Lues Venerea , Cap. 6. whereunto many times I mixed the sirr. of Mulberies , q. s. CLOWESOBS-E2-P2,42.55 Also I di",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,curing,clowesobs-e2-p2.txt,EModE
"nest , fairest , and fastest , BRINSLEY-E2-P2,30.98 and also his pen shall last the longer . BRINSLEY-E2-P2,30.99 In stead of setting of copies , and to save that endlesse toile , let every one have a little copie booke fastened to the top of his wri",NG,activity,activity,activity,unbound,unbound,atelic,neutral,setting,brinsley-e2-p2.txt,EModE
"hote supping often , to use moderat motion and to bear yt with a good corage til by acqueyntance you become famylier with the heaving and setting of the ship and be able to brook the seas MADOX-E2-P1,110.403 and than the more excerse {COM:exercise} w",NG,activity,activity,activity,unbound,unbound,atelic,unbound,heaving,madox-e2-p1.txt,EModE
"This sheweth that you had an evil Opinion of her , and so no Affection to the Person ; THOWARD2-E2-P1,1,98.603 therefore your seeking of that Marriage was for another Respect ; THOWARD2-E2-P1,1,98.604 and therefore Ledington , Rosse , and you practis",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,seeking,thoward2-e2-p1.txt,EModE
"co~uersation youre grace knoweth that if yee were in feare of any man , of what estate soeuer he were , my duetie were to the endaungering of my life to punishe that person , therby to race that sore from your hearte . STOW-E2-P2,577.47 And then howe",NG,activity,activity,activity,amb,ambiguous,ambiguous,neutral,endangering,stow-e2-p2.txt,EModE
" , in a woman's voice , expressing her resentments of the usage she had met with , and assuring them she would assist them in taking off the king : BURNETCHA-E3-P1,2,174.309 upon that he was brought in , and presented to her , BURNETCHA-E3-P1,2,174.3",NG,accomplishment,activity,activity,unbound,unbound,telic,unbound,taking,burnetcha-e3-p1.txt,EModE
"s , to cut off all occasions of clamours , and of discrediting ourselves , and our schooles , and to contend for the greatest profiting of our children , as well in this , as in any other part of learning ; the use of this being , as we heard , most ",NG,state,state,state,amb,ambiguous,ambiguous,neutral,profiting,brinsley-e2-p1.txt,EModE
",31.117 I should here have closed my discourse ; and shut up this Petty-Schoole , were it not that I received a model for the maintaining of Students from a worthy friends hands & one that is most zealously and charitably addicted to advance Learning",NG,activity,activity,activity,unbound,unbound,atelic,neutral,maintaining,hoole-e3-p1.txt,EModE
"e fitted for my own mouth . WALTON-E3-P2,253.293 And so , my Scholar , you are to know , that as the ill pronunciation or ill accenting of words in a Sermon spoils it , so the ill carriage of your line , or not fishing even to a foot in a right place",NG,activity,activity,activity,unbound,unbound,atelic,neutral,accenting,walton-e3-p2.txt,EModE
"YS-E3-H,8,317.281 and there hear how they talk against the present management of things , and against Sir W. Coventry for his bringing in of new commanders and casting out the old seamen ; which I did endeavour to rectify Mr. Michell and them in , le",NG,achievement,achievement,achievement,bound,bound,telic,bound,bringing,pepys-e3-h.txt,EModE
"hough I may not take more than I borrowed , yet I may giue more than I borrowed . SMITH-E2-H,E6V.294 Moreouer , I may compare giuing of Vsurie to swearing ; SMITH-E2-H,E6V.295 if a man sweare without cause he sinneth ; SMITH-E2-H,E6V.296 but if he sw",NG,activity,activity,activity,unbound,unbound,atelic,neutral,giving,smith-e2-h.txt,EModE
"Yesterday the Howse being resolved into a Committee of the whole Howse to debate upon his Ma=ties= answere to Adresse for the recalling of his Ma=ties= subjects in ye service of the French King , and the question being putt for the adjournment of the",NG,achievement,achievement,achievement,bound,bound,telic,bound,recalling,aungier-e3-p2.txt,EModE
"our summer cheese touching the making thereof MARKHAM-E2-P2,2,119.292 only , because the season of the yeere denyeth a kindly drying or hardning thereof , it differeth much in taste MARKHAM-E2-P2,2,119.293 and will be soft alwaies , MARKHAM-E2-P2,2,1",NG,activity,activity,accomplishment,bound,unbound,atelic,bound,drying,markham-e2-p2.txt,EModE
"stances for the Cure of the said Malady , the which I haue obserued and gathered as heereafter ensueth for the perfection and accomplishing of the before named first Intention , if the strength and ability of the Patient will serue and admit the same",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,accomplishing,clowes-e2-h.txt,EModE
"r contempt : betweene which extreames it is extreamly hard to hold the meane . HAYWARD-E2-P1,29.208 Not many dayes after this fyring of images and church ornaments in London , a mightie tempest did rise , which continued about three howres ; in the e",NG,activity,activity,accomplishment,bound,unbound,atelic,bound,firing,hayward-e2-p1.txt,EModE
"ed : It shall please your Highnesse to vnderstand , that these are the children of poore people : that do get their liuing by picking of woll , hauing scant a good meale once in a weeke . DELONEY-E2-P2,49.251 With that the King began to tell his Gill",NG,activity,activity,activity,unbound,unbound,atelic,unbound,picking,deloney-e2-p2.txt,EModE
" , as your Lordship pretendeth . THOWARD2-E2-P2,109.697 The Duke of Norfolk confesseth the receipt of these Letters , and the deciphering of them . THOWARD2-E2-P2,109.698 So Charles Bayly , by Rodolph 's Request , wrote the two Letters in Ciphers ; T",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,deciphering,thoward2-e2-p2.txt,EModE
"wadger standeth in neede of particular foods of aduantage . MARKHAM-E2-P2,1,101.155 The best generall foods for the ordinarie vpholding of a dogge in a good state of body is chippings , crusts of bread , soft tender bones or grissels of Veale , Lambe",NG,activity,activity,activity,unbound,unbound,atelic,neutral,upholding,markham-e2-p2.txt,EModE
"n go to the pot where your earning bagges hangs , MARKHAM-E2-P2,2,117.246 and draw from thence so much of the earning without stirring of the bagge as will serue for your proportion of milke , MARKHAM-E2-P2,2,117.247 and straine it therein very caref",NG,achievement,activity,activity,unbound,unbound,atelic,unbound,stirring,markham-e2-p2.txt,EModE
" and the answering of hir Majesties Rents and Revenues more assuredly : For the setting hir Lands at more Certaynty : For the dividing of that Province into Shiers and Signiories : The buylding of certayne Fortes and Castells , some to bridle the Reb",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,dividing,perrott-e2-p2.txt,EModE
"KER-B-E2-P1,46.99 but their very prayers are turned into sinne , HOOKER-B-E2-P1,46.100 and their cryes are no better then the lowing of beasts before him . HOOKER-B-E2-P1,46.101 Well , saith the Apostle , by their vnbeleefe they are broken of , HOOKE",NG,activity,activity,activity,unbound,unbound,atelic,unbound,lowing,hooker-b-e2-p1.txt,EModE
"s my joy , so that I believe it is nothing but a strain . PEPYS-E3-P1,7,406.83 And for these three or four days I perceive my overworking of my eyes by Candle light doth hurt them , as it did the last winter . PEPYS-E3-P1,7,406.84 That by day I am we",NG,activity,activity,activity,unbound,unbound,ambiguous,unbound,overworking,pepys-e3-p1.txt,EModE
"now all you can without Perjury . VANBR-E3-P1,56.623 Ber. $I $'ll {TEXT:I'll} let you know enough to prevent any wise Woman's dying of the Pip ; VANBR-E3-P1,56.624 and I hope $you $'ll {TEXT:you'll} pluck up your Spirits , and shew upon occasion , yo",NG,activity,activity,activity,amb,ambiguous,ambiguous,neutral,dying,vanbr-e3-p1.txt,EModE
"e of great blocks of Timber , which are commonly call'd Old-coals . The reason of which difference may probably be , that the charring of Vegatables , being an operation quickly performed , and whilest the Wood is sappy , the more solid parts may mor",NG,activity,activity,activity,unbound,unbound,atelic,neutral,charring,hooke-e3-p1.txt,EModE
", I knew not ; THOWARD2-E2-P1,1,95.453 for it must come from the Queen's Majesty : THOWARD2-E2-P1,1,95.454 We knew not of the differing of the Commission at that time , nor till such time as Mr. Sadler was sent for . THOWARD2-E2-P1,1,95.455 How could",NG,state,state,state,bound,ambiguous,ambiguous,bound,differing,thoward2-e2-p1.txt,EModE
"hey tooke from him ; And those of Geneva also , haue both sent hither to praye the Kinge to stipulatt in his peace , the comp~hending of their differences , EDMONDES-E2-P1,399.36 but they doubt that these men , whatsoeuer p~mises they nowe make them ",NG,state,state,state,unbound,unbound,atelic,neutral,comprhending,edmondes-e2-p1.txt,EModE
"Y-E2-P1,16.128 and had privy enemies , frindshipe of women . FORMAN-DIARY-E2-P1,16.129 A falle in a toware like to be kild in catching of pigeons . FORMAN-DIARY-E2-P1,16.130 Gret expences , profit by my pen . FORMAN-DIARY-E2-P1,16.131 I changed my ho",NG,activity,activity,activity,unbound,unbound,atelic,unbound,catching ,forman-diary-e2-p1.txt,EModE
"eth men that shall vse religion as a cloake to put off , and on , as the weather serveth ; such as shall with Herod heare the preaching of Iohn Baptist to day , and to morrow condescende to haue him beheaded ; or with the other Herod say , they will ",NG,activity,activity,activity,unbound,unbound,atelic,neutral,preaching,hooker-a-e2-p1.txt,EModE
"ountry these nine years saving this last Year , wherein I have been absent is known to have tended to no other end , than the provoking and persuading of the People to like and yield Obedience unto her Majesty , and the Religion received in her Domin",NG,activity,activity,accomplishment,bound,unbound,atelic,bound,provoking,judall-e2-p2.txt,EModE
"ARMIN-E2-P1,18.105 and was half dead with feare : ARMIN-E2-P1,18.106 in the end the winde turned , ARMIN-E2-P1,18.107 and the raging of the sea began to cease . ARMIN-E2-P1,18.108 I warrant thee now quoth the maister Jemy , wee shall not bee drowned ",NG,activity,activity,activity,unbound,unbound,atelic,unbound,raging,armin-e2-p1.txt,EModE
"Master Doctor Caius comming : SHAKESP-E2-P1,42,C1.457 if he doe I'faith and finde any body in the house ; here will be an old abusing of Gods patience , and the Kings English . SHAKESP-E2-P1,42,C1.458 Ru. $I $'ll {TEXT:Ile} goe watch . SHAKESP-E2-P1,",NG,activity,activity,accomplishment,bound,unbound,atelic,bound,abusing,shakesp-e2-p1.txt,EModE
"harp courses vpon the race he must run , that hee may as well finde comfort as displeasure thereon . MARKHAM-E2-P2,1,84.74 In training of your horse obserue not the number the miles , but the labour fit for your horse . MARKHAM-E2-P2,1,84.75 Be sure ",NG,activity,activity,activity,unbound,unbound,atelic,unbound,training,markham-e2-p2.txt,EModE
"ie hither to the K. whereof I understand that the coulorable occasion was to pray the K. to presse the Pope to p~ceade to the determyning of the difference of the Marquisatt , & to open himself , what composition he would be content to take , or ells",NG,achievement,achievement,achievement,bound,bound,telic,neutral,determining,edmondes-e2-p1.txt,EModE
"for bringyng | yn hym before in to the howse . MADOX-E2-H,82.33 Wil Breach came to town MADOX-E2-H,82.34 and was sory for the going away of Robyn . MADOX-E2-H,82.35 He browght me a letter from John Trus ... to place Phillip Breach at Wollerhanton wit",NG,achievement,achievement,achievement,bound,bound,telic,bound,going,madox-e2-h.txt,EModE
"t made privy to the matter , as she behoved to be , in respect we were purposely come into England for that End , and for the justifying of the Grounds of our Case . THOWARD2-E2-P1,1,93.370 The Duke's Answer was , he would take in hand to handle matt",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,justifying,thoward2-e2-p1.txt,EModE
": COVERTE-E2-H,16.95 then some of our Co~pany told them of al the intended treacheries with the losse of two of our men , and wounding of the the third , which made them fearefull of our reuenge , as it seemed COVERTE-E2-H,16.96 and then they talked ",NG,achievement,achievement,achievement,bound,bound,telic,bound,wounding,coverte-e2-h.txt,EModE
" Christ , and set his hart on fire vpon his spowse . HOOKER-B-E2-H,36.22 We see , how he breaketh out in the Canticles at the beholding of this attire , HOOKER-B-E2-H,37.23 How faire art thou , HOOKER-B-E2-H,37.24 and how pleasant art thou , O my lou",NG,activity,activity,activity,unbound,unbound,atelic,unbound,beholding,hooker-b-e2-h.txt,EModE
"ry rootes therof CLOWES-E2-H,31.290 for it doth behooue a prouident & wise Artist to preuent & see all eminent danger in y=e= doing therof , CLOWES-E2-H,31.291 & the~ by Gods help , ye may safely in a short time roote out these hard Strophulous Tumor",NG,activity,activity,activity,unbound,unbound,atelic,unbound,doing,clowes-e2-h.txt,EModE
"ng . BOETHEL-E2-H,63.118 For since men be blissed by getting of felicitie , & felicitie is Diuinitie , It concludes , that by getting of Diuinity men be blessed . BOETHEL-E2-H,63.119 For as Just men be made by getting Justice , & wyse men by wisdom ,",NG,activity,activity,activity,unbound,unbound,atelic,neutral,getting,boethel-e2-h.txt,EModE
" THOWARD2-E2-P1,1,87.63 and said thus : Now I am not to use a short Speech , which I meant before to have used , but that the reading of the Indictment hath driven me to other Occasions . THOWARD2-E2-P1,1,87.64 Altho' these heinous Treasons and outra",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,reading,thoward2-e2-p1.txt,EModE
"ositions as you shall perceiue by the discourse following : MARKHAM-E2-P2,2,115.201 yet before I doe beginne to speake of the making of the Cheese , I will shew you how to order your Cheeselep-bag or runnet , which is the most principall thing wherew",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,making,markham-e2-p2.txt,EModE
"9 For perfection taken away , we can not ymagyne what that is that is imperfect . BOETHEL-E2-H,62.80 For Nature tooke not her begynning of thinges diminished & worne , but of hole & absolute , BOETHEL-E2-H,62.81 & so cam downe into thes barren & utte",NG,achievement,achievement,achievement,bound,bound,telic,bound,beginning,boethel-e2-h.txt,EModE
"chaunce to meete with a Monster , who like the people Cynomolgy , had the proportion of a man , but headed like a dogge , the biting of whose teeth was like the poysoned teeth of a Crocodile , his breath like the Basilisks , killing afarre off . DELO",NG,achievement,achievement,achievement,bound,unbound,atelic,bound,biting ,deloney-e2-p2.txt,EModE
" our contrimen come downe as thay went vp . KNYVETT-1620-E2-P1,69.250 The Kinge $can $not {TEXT:cannot} induer to heer of the makeing of a Baronett KNYVETT-1620-E2-P1,69.251 & thay say he will not allowe the title to discend to posterity of them whic",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,making,knyvett-1620-e2-p1.txt,EModE
"ation , he haveing dessigned 30,000 crounes by the yeear to fortyfye him selfe at sea , TBARRING-E2-P2,133.18 and towards the effecting heearof hath procured 20 or 30 familyes of the best shipp wrights that he can obtaine into his countrye . TBARRING",NG,achievement,achievement,achievement,bound,bound,telic,neutral,effecting,tbarring-e2-p2.txt,EModE
" any pardon of the Popes . JOTAYLOR-E2-P1,3,80.C1.80 The priuiledges of this graund haulter-master are many , as hee hath the emptying of all the vaults or draughts in the city , which no doubt hee gaines some fauour by . JOTAYLOR-E2-P1,3,80.C2.81 Be",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,emptying,jotaylor-e2-p1.txt,EModE
"ue done it , is as I haue before said for the benefit of all young Students of Chirurgery , who haue a long time expected the comming foorth and publishing of this Booke : whose honest zeale and affection towards me , hath induced mee the rather to s",NG,achievement,achievement,achievement,bound,bound,telic,neutral,coming,clowes-e2-p2.txt,EModE
" upon your Consent , to perform what he desires . VANBR-E3-H,62.600 Miss . Sir , I never disobey my Father in any thing , but eating of green Gooseberries . VANBR-E3-H,62.601 Y. Fash. So good a Daughter must needs be an admirable Wife ; VANBR-E3-H,62",NG,activity,activity,activity,unbound,unbound,atelic,unbound,eating,vanbr-e3-h.txt,EModE
" and your Lordships shall easily judge of them . THOWARD2-E2-P2,110.809 Here have been set forth before you the imagining and practising of the Deprivation and Death of the Queen's Majesty , with bringing in of Strangers into the Realm to invade , an",NG,activity,activity,accomplishment,bound,unbound,atelic,bound,practising,thoward2-e2-p2.txt,EModE
"t by reason of the blacknes of her teeth , & the staines of her cloathes wherwith she had often wiped her mouth : and also by staining of the Basons and the dishes , wherin she had so often times vomitted . CLOWES-E2-P1,45.247 After this I stayed wit",NG,activity,activity,accomplishment,bound,unbound,atelic,bound,staining,clowes-e2-p1.txt,EModE
"he Epicurean : Nil tam metuens , quam ne dubitare aliqua de re videretur ; Nor on the other side into Socrates his irronicall doubting of all things , but to propound things sincerely , with more or lesse asseueration : as they stand in a mans owne i",NG,state,state,accomplishment,bound,unbound,atelic,bound,doubting,bacon-e2-p2.txt,EModE
"icient , DELONEY-E2-H,73.147 but it grieues me , to tell you true , to see how coy they are , and the small care they haue in wasting of things : DELONEY-E2-H,73.148 and I assure you , the whole towne cryes shame of it , DELONEY-E2-H,73.149 and it ha",NG,activity,activity,activity,unbound,unbound,atelic,unbound,wasting,deloney-e2-h.txt,EModE
".39 thus doth obseruation and labour finde out the darkest secrets in art . MARKHAM-E2-H,1,74.40 To begin then with the first ordering of a hunting horse , you shall know that the best time to take him from grasse is about Bartholmew tide , the day b",NG,achievement,achievement,achievement,amb,ambiguous,ambiguous,neutral,ordering,markham-e2-h.txt,EModE
"ith the other , 10=s= or 11=s= the Acre , as you can get , remembring that they that hire them pay for what is plowed and the carriing up of the dung ; or else condition to plow so much and carry out so much dung ; HOXINDEN-1660-E3-H,278.139 the uppe",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,carrying,hoxinden-1660-e3-h.txt,EModE
"NSLEY-E2-P2,36.177 To helpe to write cleane , fast and faire together , call oft on your schollers to exercise their hands in making of f strokes , that is , dashes of f , and s thus f s ; and the stroake of the great C , and B , thus , {COM:calligra",NG,activity,activity,activity,unbound,unbound,atelic,unbound,making,brinsley-e2-p2.txt,EModE
"tinued open pores , running the whole length of the Stick ; HOOKE-E3-P1,101.16 and that they were all perforated , I try'd by breaking off a very thin sliver of the coal cross-ways , and then with my Microscope , diligently surveying them against the",VG,achievement,achievement,achievement,bound,bound,telic,bound,breaking _off,hooke-e3-p1.txt,EModE
"of such Warrant shall administer and give to such Person as shall bee Sheriff Goaler or Keeper of such Prison att the time of making of such Summons an Oath to the Effect following viz=t= . STAT-1690-E3-H,VII,75.10 I A. B. doe swear That I have exami",NG,activity,activity,activity,unbound,unbound,atelic,neutral,making ,stat-1690-e3-h.txt,EModE
"uth , it is evil and dangerous : THOWARD2-E2-P2,113.1025 therefore it is not for my Lord of Norfolk to stand so much upon the discrediting of the Witnesses , and advancing of his own Credit , which himself hath so much decayed . THOWARD2-E2-P2,113.10",NG,achievement,achievement,achievement,bound,bound,telic,bound,discrediting,thoward2-e2-p2.txt,EModE
"ue a thousand pound to purchase fruitfulnesse , MIDDLET-E2-H,17.371 $'T $is {TEXT:'Tis} but bating so many good workes In the erecting of Bridewels and Spittle-houses , MIDDLET-E2-H,17.372 And so fetch it vp againe , MIDDLET-E2-H,17.373 for hauing no",NG,activity,activity,activity,unbound,unbound,atelic,unbound,erecting,middlet-e2-h.txt,EModE
